Word,Count,Percentage,Total,Distinct
the,5541,5.809515821258572,95378,6150
of,2434,2.5519511837111284,,
in,2214,2.3212900249533432,,
to,2200,2.3066115875778483,,
a,2163,2.267818574514039,,
is,1637,1.7163287131204261,,
and,1443,1.5129275094885613,,
>,1306,1.3692885151712135,,
for,1148,1.2036318647906226,,
<-,1137,1.1920988068527334,,
that,1110,1.1637903919142778,,
x,1007,1.0557990312231333,,
we,1000,1.0484598125353854,,
this,999,1.0474113527228501,,
#function,885,0.9278869340938162,,
r,832,0.8723185640294407,,
as,801,0.8398163098408438,,
you,688,0.7213403510243452,,
be,579,0.6070582314579882,,
it,555,0.5818951959571389,,
are,526,0.5514898613936128,,
with,510,0.5347145043930466,,
i,505,0.5294722053303696,,
example,486,0.5095514688921974,,
can,465,0.4875338128289543,,
if,462,0.48438843339134807,,
which,457,0.4791461343286712,,
c,457,0.4791461343286712,,
#code,454,0.4760007548910651,,
on,439,0.4602738577030342,,
#,425,0.44559542032753885,,
an,420,0.44035312126486187,,
by,400,0.4193839250141542,,
y,393,0.4120447063264065,,
at,393,0.4120447063264065,,
will,391,0.40994778670133575,,
#vector,386,0.40470548763865877,,
here,383,0.40156010820105265,,
#data,372,0.3900270502631634,,
our,346,0.36276709513724337,,
from,330,0.3459917381366772,,
but,323,0.33865251944892955,,
call,314,0.32921638113611107,,
one,313,0.3281679213235757,,
not,313,0.3281679213235757,,
list,309,0.32397408207343414,,
#matrix,308,0.32292562226089877,,
{,302,0.3166348633856864,,
so,300,0.3145379437606156,,
have,299,0.31348948394808024,,
then,296,0.3103441045104741,,
},284,0.29776258676004946,,
first,274,0.2872779886346956,,
f,266,0.27889031013441257,,
z,262,0.274696470884271,,
use,261,0.27364801107173564,,
or,259,0.27155109144666484,,
=,245,0.25687265407116944,,
return,239,0.25058189519595714,,
line,236,0.24743651575835096,,
time,228,0.23904883725806791,,
m,218,0.22856423913271404,,
each,218,0.22856423913271404,,
all,215,0.22541885969510786,,
file,211,0.22122502044496636,,
value,206,0.21598272138228944,,
n,203,0.21283734194468326,,
two,203,0.21283734194468326,,
+,202,0.2117888821321479,,
#functions,198,0.20759504288200634,,
let’s,195,0.2044496634444002,,
class,191,0.20025582419425864,,
using,187,0.19606198494411708,,
would,186,0.1950135251315817,,
row,186,0.1950135251315817,,
-,183,0.19186814569397556,,
some,182,0.19081968588144016,,
more,181,0.18977122606890479,,
your,176,0.18452892700622786,,
print,175,0.18348046719369246,,
number,166,0.17404432888087398,,
d,164,0.17194740925580324,,
there,164,0.17194740925580324,,
other,164,0.17194740925580324,,
#argument,163,0.17089894944326783,,
length,162,0.16985048963073246,,
note,161,0.16880202981819706,,
values,158,0.1656566503805909,,
has,157,0.16460819056805553,,
may,150,0.1572689718803078,,
set,149,0.15622051206777243,,
could,146,0.15307513263016628,,
#variable,143,0.14992975319256013,,
also,143,0.14992975319256013,,
such,142,0.14888129338002473,,
k,141,0.14783283356748936,,
instance,141,0.14783283356748936,,
frame,141,0.14783283356748936,,
do,140,0.14678437375495398,,
following,139,0.14573591394241858,,
s,137,0.1436389943173478,,
j,132,0.1383966952546709,,
what,132,0.1383966952546709,,
than,132,0.1383966952546709,,
na,130,0.13629977562960013,,
true,130,0.13629977562960013,,
was,130,0.13629977562960013,,
section,128,0.13420285600452936,,
column,126,0.13210593637945856,,
see,125,0.13105747656692318,,
no,122,0.12791209712931703,,
case,121,0.12686363731678163,,
elements,120,0.12581517750424626,,
need,119,0.12476671769171088,,
r’s,116,0.12162133825410473,,
when,116,0.12162133825410473,,
new,115,0.12057287844156933,,
read,113,0.11847595881649856,,
these,113,0.11847595881649856,,
used,113,0.11847595881649856,,
#variables,112,0.11742749900396318,,
same,112,0.11742749900396318,,
into,110,0.1153305793788924,,
b,109,0.11428211956635702,,
#vectors,109,0.11428211956635702,,
like,109,0.11428211956635702,,
object,109,0.11428211956635702,,
second,108,0.11323365975382164,,
just,108,0.11323365975382164,,
chapter,107,0.11218519994128624,,
name,106,0.11113674012875087,,
we’ll,104,0.1090398205036801,,
plot,104,0.1090398205036801,,
its,103,0.10799136069114472,,
names,100,0.10484598125353856,,
g,100,0.10484598125353856,,
up,100,0.10484598125353856,,
since,99,0.10379752144100317,,
element,98,0.10274906162846778,,
another,98,0.10274906162846778,,
rows,97,0.10170060181593238,,
here’s,96,0.100652142003397,,
out,96,0.100652142003397,,
u,95,0.09960368219086163,,
how,95,0.09960368219086163,,
find,95,0.09960368219086163,,
character,94,0.09855522237832623,,
follows,94,0.09855522237832623,,
thus,94,0.09855522237832623,,
table,93,0.09750676256579086,,
loop,93,0.09750676256579086,,
output,93,0.09750676256579086,,
columns,92,0.09645830275325547,,
say,92,0.09645830275325547,,
mean,91,0.09540984294072008,,
type,90,0.0943613831281847,,
==,90,0.0943613831281847,,
now,89,0.09331292331564932,,
through,89,0.09331292331564932,,
apply,89,0.09331292331564932,,
system,89,0.09331292331564932,,
look,87,0.09121600369057854,,
any,87,0.09121600369057854,,
called,87,0.09121600369057854,,
sum,86,0.09016754387804315,,
them,86,0.09016754387804315,,
false,85,0.08911908406550777,,
many,85,0.08911908406550777,,
get,84,0.08807062425297238,,
does,82,0.08597370462790162,,
write,82,0.08597370462790162,,
numbers,80,0.08387678500283084,,
should,80,0.08387678500283084,,
result,80,0.08387678500283084,,
null,79,0.08282832519029545,,
only,79,0.08282832519029545,,
even,77,0.08073140556522469,,
those,77,0.08073140556522469,,
consider,77,0.08073140556522469,,
work,77,0.08073140556522469,,
v,76,0.0796829457526893,,
point,74,0.07758602612761853,,
lm,74,0.07758602612761853,,
event,73,0.07653756631508314,,
us,73,0.07653756631508314,,
operations,73,0.07653756631508314,,
#arguments,72,0.07548910650254775,,
want,72,0.07548910650254775,,
programming,72,0.07548910650254775,,
within,71,0.07444064669001237,,
lines,71,0.07444064669001237,,
parallel,71,0.07444064669001237,,
three,71,0.07444064669001237,,
most,70,0.07339218687747699,,
form,69,0.0723437270649416,,
graph,68,0.07129526725240622,,
again,68,0.07129526725240622,,
about,68,0.07129526725240622,,
way,68,0.07129526725240622,,
objects,67,0.07024680743987083,,
h,66,0.06919834762733545,,
next,66,0.06919834762733545,,
wish,66,0.06919834762733545,,
debugging,66,0.06919834762733545,,
it’s,66,0.06919834762733545,,
−,65,0.06814988781480007,,
they,65,0.06814988781480007,,
actually,64,0.06710142800226468,,
package,64,0.06710142800226468,,
order,62,0.0650045083771939,,
returns,62,0.0650045083771939,,
matrices,61,0.06395604856465852,,
abc,61,0.06395604856465852,,
string,61,0.06395604856465852,,
earlier,61,0.06395604856465852,,
consists,60,0.06290758875212313,,
where,60,0.06290758875212313,,
extended,60,0.06290758875212313,,
common,60,0.06290758875212313,,
different,60,0.06290758875212313,,
were,60,0.06290758875212313,,
command,60,0.06290758875212313,,
problem,59,0.06185912893958774,,
*,59,0.06185912893958774,,
components,59,0.06185912893958774,,
simply,59,0.06185912893958774,,
must,59,0.06185912893958774,,
mode,59,0.06185912893958774,,
run,59,0.06185912893958774,,
writing,59,0.06185912893958774,,
very,59,0.06185912893958774,,
frames,59,0.06185912893958774,,
lists,58,0.060810669127052366,,
expression,58,0.060810669127052366,,
make,58,0.060810669127052366,,
means,58,0.060810669127052366,,
statistical,58,0.060810669127052366,,
though,57,0.05976220931451698,,
suppose,56,0.05871374950198159,,
well,56,0.05871374950198159,,
approach,56,0.05871374950198159,,
simple,56,0.05871374950198159,,
memory,55,0.0576652896894462,,
via,55,0.0576652896894462,,
might,55,0.0576652896894462,,
rather,55,0.0576652896894462,,
else,55,0.0576652896894462,,
named,55,0.0576652896894462,,
given,54,0.05661682987691082,,
text,54,0.05661682987691082,,
yes,54,0.05661682987691082,,
source,54,0.05661682987691082,,
add,53,0.055568370064375434,,
<,53,0.055568370064375434,,
done,53,0.055568370064375434,,
however,53,0.055568370064375434,,
calling,53,0.055568370064375434,,
version,53,0.055568370064375434,,
after,53,0.055568370064375434,,
instead,53,0.055568370064375434,,
mm,52,0.05451991025184005,,
files,52,0.05451991025184005,,
help,52,0.05451991025184005,,
too,52,0.05451991025184005,,
had,51,0.05347145043930466,,
error,51,0.05347145043930466,,
take,51,0.05347145043930466,,
various,51,0.05347145043930466,,
create,51,0.05347145043930466,,
start,50,0.05242299062676928,,
between,50,0.05242299062676928,,
both,50,0.05242299062676928,,
powers,49,0.05137453081423389,,
been,49,0.05137453081423389,,
being,48,0.0503260710016985,,
last,48,0.0503260710016985,,
level,47,0.049277611189163115,,
w,47,0.049277611189163115,,
runs,47,0.049277611189163115,,
words,47,0.049277611189163115,,
exam,47,0.049277611189163115,,
latter,47,0.049277611189163115,,
before,46,0.048229151376627734,,
figure,46,0.048229151376627734,,
much,46,0.048229151376627734,,
because,46,0.048229151376627734,,
debug,45,0.04718069156409235,,
environment,45,0.04718069156409235,,
recall,45,0.04718069156409235,,
test,45,0.04718069156409235,,
q,45,0.04718069156409235,,
cases,45,0.04718069156409235,,
itself,44,0.046132231751556965,,
<<-,44,0.046132231751556965,,
shown,44,0.046132231751556965,,
try,43,0.04508377193902158,,
t,43,0.04508377193902158,,
calls,43,0.04508377193902158,,
consisting,43,0.04508377193902158,,
useful,43,0.04508377193902158,,
fact,43,0.04508377193902158,,
count,43,0.04508377193902158,,
dg,42,0.04403531212648619,,
current,42,0.04403531212648619,,
check,42,0.04403531212648619,,
employee,42,0.04403531212648619,,
component,42,0.04403531212648619,,
whether,42,0.04403531212648619,,
generic,42,0.04403531212648619,,
their,42,0.04403531212648619,,
user,42,0.04403531212648619,,
program,41,0.04298685231395081,,
index,41,0.04298685231395081,,
packages,41,0.04298685231395081,,
window,41,0.04298685231395081,,
