Word,Count,Percentage,Total,Distinct
the,143,5.780113177041229,2474,746
is,103,4.163298302344382,,
of,92,3.7186742118027487,,
and,73,2.950687146321746,,
a,67,2.7081649151172194,,
to,56,2.263540824575586,,
are,44,1.7784963621665322,,
you,43,1.7380759902991108,,
in,39,1.5763945028294262,,
#experience,35,1.4147130153597414,,
#consciousness,34,1.3742926434923202,,
we,28,1.131770412287793,,
as,22,0.8892481810832661,,
it,21,0.8488278092158448,,
not,21,0.8488278092158448,,
#universe,19,0.7679870654810024,,
all,18,0.7275666936135812,,
human,18,0.7275666936135812,,
body,18,0.7275666936135812,,
#awareness,18,0.7275666936135812,,
#infinite,18,0.7275666936135812,,
for,18,0.7275666936135812,,
our,18,0.7275666936135812,,
that,17,0.6871463217461601,,
#reality,17,0.6871463217461601,,
your,17,0.6871463217461601,,
knowing,16,0.6467259498787389,,
world,15,0.6063055780113177,,
by,15,0.6063055780113177,,
there,14,0.5658852061438965,,
#experiences,13,0.5254648342764754,,
be,13,0.5254648342764754,,
#mind,13,0.5254648342764754,,
can,13,0.5254648342764754,,
being,12,0.4850444624090542,,
source,12,0.4850444624090542,,
or,12,0.4850444624090542,,
but,11,0.44462409054163304,,
an,11,0.44462409054163304,,
with,11,0.44462409054163304,,
what,11,0.44462409054163304,,
time,10,0.40420371867421184,,
matter,10,0.40420371867421184,,
#metahuman,10,0.40420371867421184,,
from,10,0.40420371867421184,,
no,9,0.3637833468067906,,
itself,9,0.3637833468067906,,
i,9,0.3637833468067906,,
only,9,0.3637833468067906,,
through,8,0.32336297493936944,,
beyond,8,0.32336297493936944,,
#perceptual,8,0.32336297493936944,,
self,7,0.28294260307194824,,
how,7,0.28294260307194824,,
without,7,0.28294260307194824,,
which,7,0.28294260307194824,,
thought,7,0.28294260307194824,,
this,7,0.28294260307194824,,
its,7,0.28294260307194824,,
every,7,0.28294260307194824,,
up,7,0.28294260307194824,,
&,7,0.28294260307194824,,
state,7,0.28294260307194824,,
activity,7,0.28294260307194824,,
into,7,0.28294260307194824,,
on,7,0.28294260307194824,,
formless,6,0.2425222312045271,,
pure,6,0.2425222312045271,,
existence,6,0.2425222312045271,,
have,6,0.2425222312045271,,
#conscious,6,0.2425222312045271,,
finite,6,0.2425222312045271,,
thoughts,5,0.20210185933710592,,
timeless,5,0.20210185933710592,,
more,5,0.20210185933710592,,
out,5,0.20210185933710592,,
access,5,0.20210185933710592,,
us,5,0.20210185933710592,,
form,5,0.20210185933710592,,
at,5,0.20210185933710592,,
life,5,0.20210185933710592,,
space,5,0.20210185933710592,,
possibilities,5,0.20210185933710592,,
think,5,0.20210185933710592,,
states,5,0.20210185933710592,,
physical,5,0.20210185933710592,,
new,5,0.20210185933710592,,
when,5,0.20210185933710592,,
limited,4,0.16168148746968472,,
any,4,0.16168148746968472,,
ourselves,4,0.16168148746968472,,
means,4,0.16168148746968472,,
than,4,0.16168148746968472,,
one,4,0.16168148746968472,,
identity,4,0.16168148746968472,,
real,4,0.16168148746968472,,
past,4,0.16168148746968472,,
cannot,4,0.16168148746968472,,
thinking,4,0.16168148746968472,,
mental,4,0.16168148746968472,,
do,4,0.16168148746968472,,
modes,4,0.16168148746968472,,
constructs,4,0.16168148746968472,,
now,4,0.16168148746968472,,
if,4,0.16168148746968472,,
non-local,3,0.12126111560226355,,
many,3,0.12126111560226355,,
earth,3,0.12126111560226355,,
word,3,0.12126111560226355,,
cause,3,0.12126111560226355,,
bound,3,0.12126111560226355,,
because,3,0.12126111560226355,,
change,3,0.12126111560226355,,
potential,3,0.12126111560226355,,
changing,3,0.12126111560226355,,
even,3,0.12126111560226355,,
will,3,0.12126111560226355,,
field,3,0.12126111560226355,,
limitations,3,0.12126111560226355,,
