Word,Count,Percentage,Total,Distinct
the,6177,6.5537766177547185,94251,12547
of,3722,3.9490297185175756,,
and,3264,3.463093229780055,,
to,2803,2.9739737509416346,,
a,2061,2.1867141993188404,,
in,1973,2.0933464896924168,,
that,1640,1.7400345884924298,,
is,1144,1.2137802251434997,,
it,953,1.0111298553861499,,
was,942,0.999458891682847,,
as,888,0.9421650698666326,,
this,717,0.7607346341152879,,
be,689,0.7310267265068806,,
for,685,0.7267827397056795,,
by,671,0.7119287859014759,,
not,667,0.7076847991002747,,
or,643,0.6822208782930685,,
he,593,0.6291710432780554,,
his,590,0.6259880531771546,,
have,573,0.6079511092720502,,
i,547,0.5803651950642433,,
with,528,0.5602062577585384,,
but,516,0.5474742973549352,,
on,484,0.5135224029453269,,
who,481,0.5103394128444261,,
had,476,0.5050344293429248,,
which,412,0.4371306405237079,,
one,411,0.43606964382340774,,
from,410,0.43500864712310744,,
an,410,0.43500864712310744,,
are,410,0.43500864712310744,,
all,395,0.4190936966186035,,
at,371,0.3936297758113972,,
were,351,0.372409841805392,,
been,336,0.356494891300888,,
their,325,0.3448239275975852,,
we,322,0.3416409374966844,,
would,305,0.32360399359157993,,
if,305,0.32360399359157993,,
they,297,0.3151160199891779,,
has,253,0.2684321651759663,,
when,248,0.26312718167446497,,
there,247,0.26206618497416473,,
its,240,0.2546392080720629,,
no,238,0.2525172146714624,,
even,238,0.2525172146714624,,
more,223,0.23660226416695845,,
can,223,0.23660226416695845,,
some,207,0.21962631696215423,,
you,206,0.21856532026185396,,
any,195,0.2068943565585511,,
could,195,0.2068943565585511,,
so,195,0.2068943565585511,,
other,191,0.20265036975735004,,
many,176,0.18673541925284612,,
#god,176,0.18673541925284612,,
#religion,176,0.18673541925284612,,
what,173,0.18355242915194533,,
will,168,0.178247445650444,,
them,163,0.1729424621489427,,
do,158,0.1676374786474414,,
very,155,0.16445448854654063,,
also,155,0.16445448854654063,,
about,155,0.16445448854654063,,
these,154,0.16339349184624036,,
only,153,0.16233249514594011,,
