Word,Count,Percentage,Total,Distinct
the,5660,5.817718344314363,97289,9446
of,2888,2.9684753672049253,,
a,2746,2.8225184758811377,,
to,2644,2.7176762018316563,,
and,2214,2.275694066132862,,
is,2046,2.103012673580775,,
in,1844,1.8953838563455272,,
that,1483,1.5243244354449115,,
you,1307,1.3434201194379631,,
it,1092,1.122429051588566,,
as,863,0.8870478676931616,,
are,852,0.8757413479427273,,
we,743,0.7637040158702423,,
for,616,0.6331651060243193,,
this,596,0.6126077973871661,,
your,589,0.6054127393641625,,
but,573,0.5889668924544398,,
or,571,0.5869111615907245,,
be,553,0.5684095838172867,,
with,549,0.564298122089856,,
on,516,0.5303785628385532,,
—,474,0.4872082147005314,,
by,471,0.4841246184049584,,
can,446,0.4584279826085169,,
from,444,0.4563722517448016,,
at,430,0.44198213569879435,,
an,393,0.40395111472006084,,
one,392,0.40292324928820317,,
no,386,0.3967560566970572,,
i,377,0.3875052678103383,,
have,367,0.3772266134917616,,
was,362,0.37208728633247334,,
all,360,0.37003155546875804,,
our,345,0.3546135739908931,,
when,344,0.3535857085590355,,
has,343,0.3525578431271778,,
they,338,0.3474185159678895,,
what,335,0.3443349196723165,,
if,332,0.3412513233767435,,
time,331,0.3402234579448859,,
which,325,0.3340562653537399,,
#reality,313,0.3217218801714479,,
#mind,311,0.3196661493077326,,
life,307,0.315554687580302,,
there,305,0.3134989567165867,,
#consciousness,301,0.309387494989156,,
into,297,0.30527603326172537,,
not,294,0.3021924369661524,,
#experience,293,0.30116457153429477,,
up,281,0.2888301863520028,,
#human,276,0.2836908591927145,,
how,272,0.2795793974652838,,
only,253,0.2600499542599883,,
world,252,0.2590220888281306,,
out,247,0.25388276166884227,,
like,243,0.24977129994141167,,
being,239,0.24565983821398102,,
so,227,0.2333254530316891,,
more,219,0.2251025295768278,,
people,216,0.22201893328125483,,
#brain,215,0.22099106784939718,,
its,210,0.21585174069010885,,
because,201,0.2066009518033899,,
us,199,0.20454522093967456,,
he,194,0.19940589378038628,,
their,192,0.19735016291667096,,
every,192,0.19735016291667096,,
body,186,0.191182970325525,,
other,186,0.191182970325525,,
who,182,0.18707150859809432,,
about,180,0.18501577773437902,,
will,175,0.17987645057509072,,
his,169,0.17370925798394474,,
self,165,0.1695977962565141,,
had,162,0.1665141999609411,,
these,162,0.1665141999609411,,
even,160,0.16445846909722578,,
see,155,0.15931914193793748,,
way,153,0.15726341107422218,,
were,152,0.1562355456423645,,
#physical,150,0.15417981477864917,,
same,148,0.15212408391493387,,
isn’t,143,0.14698475675564554,,
them,143,0.14698475675564554,,
everything,140,0.14390116046007256,,
do,140,0.14390116046007256,,
#awareness,138,0.14184542959635724,,
than,137,0.1408175641644996,,
#sense,137,0.1408175641644996,,
things,137,0.1408175641644996,,
would,137,0.1408175641644996,,
without,136,0.1397896987326419,,
now,133,0.13670610243706893,,
state,133,0.13670610243706893,,
been,128,0.13156677527778063,,
most,127,0.13053890984592298,,
just,127,0.13053890984592298,,
it’s,124,0.12745531355034997,,
through,119,0.12231598639106168,,
first,119,0.12231598639106168,,
where,118,0.12128812095920402,,
beyond,116,0.1192323900954887,,
very,115,0.11820452466363104,,
matter,112,0.11512092836805805,,
go,111,0.1140930629362004,,
many,110,0.11306519750434274,,
once,110,0.11306519750434274,,
don’t,109,0.11203733207248508,,
here,108,0.11100946664062741,,
back,107,0.10998160120876976,,
day,107,0.10998160120876976,,
new,106,0.10895373577691207,,
such,106,0.10895373577691207,,
any,106,0.10895373577691207,,
#virtual,105,0.10792587034505442,,
yet,105,0.10792587034505442,,
something,105,0.10792587034505442,,
know,104,0.10689800491319676,,
thing,103,0.1058701394813391,,
whole,103,0.1058701394813391,,
two,103,0.1058701394813391,,
doesn’t,101,0.10381440861762378,,
story,101,0.10381440861762378,,
own,97,0.09970294689019314,,
real,95,0.09764721602647781,,
around,94,0.09661935059462015,,
some,94,0.09661935059462015,,
say,93,0.0955914851627625,,
my,92,0.09456361973090482,,
#universe,91,0.09353575429904716,,
cannot,91,0.09353575429904716,,
years,91,0.09353575429904716,,
could,90,0.09250788886718951,,
get,90,0.09250788886718951,,
true,89,0.09148002343533185,,
person,89,0.09148002343533185,,
yourself,89,0.09148002343533185,,
#mental,88,0.09045215800347418,,
#experiences,87,0.08942429257161652,,
moment,86,0.08839642713975887,,
waking,85,0.08736856170790121,,
must,85,0.08736856170790121,,
#illusion,84,0.08634069627604354,,
then,84,0.08634069627604354,,
thought,84,0.08634069627604354,,
much,84,0.08634069627604354,,
each,83,0.08531283084418588,,
itself,83,0.08531283084418588,,
think,82,0.08428496541232822,,
also,82,0.08428496541232822,,
process,81,0.08325709998047055,,
path,81,0.08325709998047055,,
never,81,0.08325709998047055,,
feel,80,0.08222923454861289,,
part,79,0.08120136911675524,,
going,79,0.08120136911675524,,
nothing,78,0.08017350368489758,,
thoughts,78,0.08017350368489758,,
down,78,0.08017350368489758,,
why,78,0.08017350368489758,,
over,77,0.07914563825303991,,
before,76,0.07811777282118225,,
place,74,0.07606204195746694,,
make,74,0.07606204195746694,,
example,73,0.07503417652560927,,
different,73,0.07503417652560927,,
between,71,0.07297844566189395,,
another,70,0.07195058023003628,,
#creation,70,0.07195058023003628,,
take,70,0.07195058023003628,,
#created,69,0.07092271479817862,,
love,69,0.07092271479817862,,
still,68,0.06989484936632095,,
nature,67,0.0688669839344633,,
space,67,0.0688669839344633,,
away,67,0.0688669839344633,,
me,67,0.0688669839344633,,
direct,66,0.06783911850260564,,
metahuman,66,0.06783911850260564,,
#quantum,65,0.06681125307074798,,
personal,65,0.06681125307074798,,
#meta#reality,65,0.06681125307074798,,
need,64,0.06578338763889031,,
want,64,0.06578338763889031,,
light,64,0.06578338763889031,,
already,63,0.06475552220703265,,
while,63,0.06475552220703265,,
too,62,0.06372765677517499,,
eyes,62,0.06372765677517499,,
actually,62,0.06372765677517499,,
exist,62,0.06372765677517499,,
after,61,0.06269979134331732,,
words,60,0.06167192591145967,,
come,60,0.06167192591145967,,
existence,60,0.06167192591145967,,
find,60,0.06167192591145967,,
death,59,0.06064406047960201,,
stories,59,0.06064406047960201,,
become,59,0.06064406047960201,,
anything,59,0.06064406047960201,,
point,58,0.05961619504774435,,
however,58,0.05961619504774435,,
infinite,58,0.05961619504774435,,
someone,58,0.05961619504774435,,
fact,58,0.05961619504774435,,
makes,58,0.05961619504774435,,
far,58,0.05961619504774435,,
today,57,0.05858832961588669,,
enough,57,0.05858832961588669,,
activity,56,0.05756046418402903,,
#god,56,0.05756046418402903,,
since,56,0.05756046418402903,,
totally,56,0.05756046418402903,,
