Word,Count,Percentage,Total,Distinct
the,11403,6.331236431676726,180107,6103
and,10663,5.92036955809602,,
of,5907,3.2797170570827343,,
that,4008,2.2253438233938714,,
to,3497,1.9416235904212498,,
he,3191,1.7717245859405797,,
in,3029,1.6817780541566958,,
unto,2445,1.3575263593308422,,
him,2440,1.3547502318066482,,
for,2259,1.2542544154308273,,
is,2185,1.2131677280727569,,
i,2171,1.2053945710050136,,
not,2055,1.140988412443714,,
a,2030,1.1271077748227443,,
they,2023,1.1232211962888727,,
but,1759,0.976641663011432,,
them,1685,0.9355549756533617,,
ye,1533,0.8511606989178655,,
be,1524,0.8461636693743163,,
his,1412,0.7839784128323719,,
with,1366,0.7584380396097875,,
#shall,1359,0.754551461075916,,
#god,1319,0.7323424408823643,,
it,1313,0.7290110878533316,,
was,1255,0.6968080085726818,,
you,1224,0.6795960179226793,,
all,1102,0.611858506332347,,
as,1036,0.5752136230129867,,
said,995,0.5524493773145963,,
are,974,0.5407896417129817,,
#jesus,914,0.5074761114226543,,
have,882,0.48970889526781297,,
when,877,0.4869327677436191,,
from,872,0.4841566402194251,,
we,868,0.48193573820007,,
which,853,0.47360735562748807,,
this,824,0.45750581598716317,,
me,815,0.45250878644361403,,
man,797,0.4425147273565158,,
#thou,794,0.44084905084199943,,
were,784,0.4352967957936116,,
things,760,0.42197138367748066,,
one,728,0.4042041675226394,,
#lord,695,0.3858817258629592,,
by,675,0.37477721576618345,,
on,659,0.3658936076887628,,
who,637,0.3536786465823094,,
also,628,0.3486816170387603,,
my,627,0.3481263915339215,,
if,619,0.34368458749521114,,
into,604,0.3353562049226293,,
there,573,0.31814421427262685,,
come,544,0.3020426746323019,,
had,537,0.29815609609843036,,
hath,531,0.29482474306939765,,
out,523,0.29038293903068735,,
#christ,520,0.28871726251617097,,
no,515,0.285941134991977,,
their,512,0.2842754584774606,,
came,510,0.28316500746778306,,
will,496,0.27539185040004,,
your,476,0.2642873403032642,,
up,466,0.25873508525487626,,
#thee,463,0.2570694087403599,,
us,458,0.25429328121616596,,
now,453,0.25151715369197203,,
say,450,0.24985147717745565,,
saying,434,0.240967869100035,,
these,429,0.23819174157584103,,
even,422,0.2343051630419695,,
what,418,0.23208426102261434,,
#thy,418,0.23208426102261434,,
#therefore,398,0.22097975092583855,,
our,384,0.21320659385809546,,
do,383,0.21265136835325668,,
so,381,0.21154091734357908,,
at,376,0.20876478981938515,,
men,360,0.1998811817419645,,
saith,356,0.19766027972260933,,
may,349,0.19377370118873782,,
or,347,0.19266325017906022,,
#spirit,343,0.19044234815970507,,
then,334,0.18544531861615596,,
know,331,0.18377964210163958,,
should,321,0.17822738705325167,,
went,317,0.17600648503389651,,
let,316,0.1754512595290577,,
made,309,0.1715646809951862,,
upon,308,0.1710094554903474,,
her,305,0.16934377897583103,,
because,301,0.16712287695647587,,
whom,295,0.16379152392744312,,
through,288,0.1599049453935716,,
day,281,0.15601836685970005,,
many,278,0.1543526903451837,,
before,275,0.15268701383066732,,
good,267,0.148245209791957,,
away,264,0.14657953327744064,,
great,261,0.14491385676292426,,
#father,258,0.1432481802484079,,
after,257,0.14269295474356908,,
am,256,0.1421377292387303,,
heaven,253,0.14047205272421395,,
#faith,246,0.1365854741903424,,
down,242,0.13436457217098724,,
heard,242,0.13436457217098724,,
go,241,0.13380934666614844,,
having,239,0.1326988956564709,,
#disciples,236,0.1310332191419545,,
behold,234,0.12992276813227693,,
every,232,0.12881231712259933,,
forth,232,0.12881231712259933,,
brethren,231,0.12825709161776055,,
been,228,0.1265914151032442,,
any,227,0.12603618959840537,,
world,226,0.1254809640935666,,
#word,224,0.12437051308388902,,
himself,222,0.12326006207421143,,
law,219,0.12159438555969507,,
how,218,0.12103916005485628,,
saw,218,0.12103916005485628,,
called,216,0.11992870904517869,,
own,213,0.11826303253066232,,
more,211,0.11715258152098475,,
did,211,0.11715258152098475,,
#son,210,0.11659735601614596,,
give,209,0.11604213051130717,,
another,208,0.11548690500646837,,
