Word,Count,Percentage,Total,Distinct
the,8057,5.318818861771443,151481,6452
and,7322,4.833609495580304,,
of,4084,2.6960476891491343,,
to,3392,2.23922472125217,,
you,3319,2.1910338590318257,,
they,2826,1.865580501845116,,
is,2690,1.7758002653798166,,
#god,2634,1.7388319327176345,,
a,2460,1.6239660419458548,,
them,2352,1.5526699718116463,,
that,2293,1.5137211927568475,,
in,2284,1.5077798535789968,,
he,2236,1.4760927112971265,,
not,1916,1.2648450960846573,,
we,1764,1.1645024788587346,,
it,1623,1.0714214984057406,,
',1558,1.0285118265657078,,
for,1545,1.0199298921977014,,
#shall,1441,0.951274417253649,,
be,1316,0.8687558175612783,,
have,1282,0.8463107584449535,,
who,1264,0.8344280800892522,,
are,1203,0.7941590034393752,,
their,1198,0.7908582594516804,,
him,1182,0.7802958786910569,,
will,1065,0.7030584693789981,,
with,990,0.6535473095635757,,
those,986,0.6509067143734197,,
but,984,0.6495864167783418,,
his,953,0.6291218040546339,,
from,931,0.6145985305087767,,
lord,891,0.5881925786072181,,
when,847,0.5591460315155036,,
what,804,0.530759633221328,,
so,789,0.5208574012582436,,
then,783,0.5168965084730098,,
#thou,783,0.5168965084730098,,
said,759,0.5010529373320747,,
has,745,0.49181085416652914,,
say,742,0.48983040777391224,,
#surely,682,0.4502214799215743,,
your,665,0.4389989503634119,,
if,648,0.4277764208052495,,
as,635,0.419194486437243,,
do,601,0.3967494273209181,,
i,598,0.3947689809283012,,
thee,576,0.380245707382444,,
upon,546,0.36044124345627504,,
were,540,0.3564803506710412,,
people,516,0.34063677953010607,,
no,499,0.3294142499719437,,
or,494,0.3261135059842489,,
day,462,0.30498874446300195,,
on,456,0.3010278516777682,,
us,456,0.3010278516777682,,
#thy,454,0.29970755408269023,,
there,444,0.2931060661073006,,
my,443,0.2924459173097616,,
me,429,0.2832038341442161,,
our,393,0.25943847743281334,,
earth,389,0.2567978822426575,,
was,386,0.2548174358500406,,
by,376,0.24821594787465093,,
one,374,0.246895650279573,,
down,366,0.24161445989926128,,
all,346,0.228411483948482,,
signs,342,0.22577088875832615,,
unto,324,0.21388821040262476,,
#chastisement,320,0.2112476152124689,,
#believe,320,0.2112476152124689,,
come,314,0.20728672242723511,,
sent,313,0.2066265736296961,,
this,312,0.20596642483215719,,
men,302,0.1993649368567675,,
before,293,0.19342359767891684,,
#believers,286,0.18880255609614408,,
been,283,0.18682210970352717,,
#unbelievers,277,0.18286121691829338,,
against,264,0.17427928255028682,,
would,263,0.17361913375274787,,
may,262,0.1729589849552089,,
had,262,0.1729589849552089,,
#god's,258,0.17031838976505304,,
good,253,0.1670176457773582,,
know,253,0.1670176457773582,,
book,249,0.16437705058720237,,
an,248,0.1637169017896634,,
any,247,0.16305675299212444,,
which,242,0.1597560090044296,,
only,240,0.15843571140935167,,
messenger,232,0.15315452102903995,,
#evil,226,0.14919362824380616,,
at,210,0.1386312474831827,,
over,209,0.13797109868564375,,
after,202,0.13335005710287098,,
#fear,200,0.13202975950779305,,
man,199,0.13136961071025408,,
whom,197,0.13004931311517615,,
how,191,0.12608842032994236,,
o,191,0.12608842032994236,,
among,189,0.12476812273486443,,
things,189,0.12476812273486443,,
#heavens,188,0.12410797393732546,,
yet,186,0.12278767634224753,,
its,185,0.12212752754470857,,
forth,184,0.1214673787471696,,
given,176,0.1161861883668579,,
lies,176,0.1161861883668579,,
give,174,0.11486589077177997,,
way,171,0.11288544437916308,,
made,171,0.11288544437916308,,
truth,171,0.11288544437916308,,
every,167,0.1102448491890072,,
knows,167,0.1102448491890072,,
should,164,0.10826440279639031,,
some,164,0.10826440279639031,,
let,163,0.10760425399885135,,
neither,163,0.10760425399885135,,
into,162,0.10694410520131238,,
away,161,0.10628395640377342,,
out,160,0.10562380760623445,,
indeed,159,0.10496365880869549,,
between,158,0.10430351001115652,,
than,158,0.10430351001115652,,
created,158,0.10430351001115652,,
make,157,0.10364336121361756,,
clear,156,0.10298321241607859,,
did,153,0.10100276602346168,,
take,151,0.09968246842838376,,
therein,149,0.09836217083330583,,
knowledge,147,0.0970418732382279,,
fire,146,0.09638172444068893,,
whosoever,144,0.095061426845611,,
#evildoers,144,0.095061426845611,,
themselves,142,0.09374112925053307,,
name,142,0.09374112925053307,,
see,140,0.09242083165545514,,
mercy,139,0.09176068285791618,,
up,139,0.09176068285791618,,
world,136,0.08978023646529927,,
compassionate,135,0.0891200876677603,,
most,134,0.08845993887022134,,
two,134,0.08845993887022134,,
turn,134,0.08845993887022134,,
nor,134,0.08845993887022134,,
came,132,0.08713964127514341,,
hearts,132,0.08713964127514341,,
merciful,132,0.08713964127514341,,
#godfearing,130,0.08581934368006548,,
other,129,0.08515919488252652,,
apart,128,0.08449904608498755,,
astray,128,0.08449904608498755,,
haply,127,0.08383889728744859,,
leave,125,0.08251859969237066,,
moses,125,0.08251859969237066,,
except,124,0.0818584508948317,,
life,123,0.08119830209729273,,
heaven,123,0.08119830209729273,,
like,121,0.0798780045022148,,
being,121,0.0798780045022148,,
even,120,0.07921785570467584,,
call,120,0.07921785570467584,,
art,120,0.07921785570467584,,
never,119,0.07855770690713687,,
am,119,0.07855770690713687,,
might,118,0.0778975581095979,,
deeds,117,0.07723740931205894,,
another,116,0.07657726051451998,,
such,115,0.07591711171698101,,
bring,115,0.07591711171698101,,
cried,114,0.07525696291944205,,
right,112,0.07393666532436412,,
set,112,0.07393666532436412,,
better,111,0.07327651652682515,,
hast,110,0.07261636772928619,,
appointed,108,0.07129607013420824,,
land,108,0.07129607013420824,,
save,108,0.07129607013420824,,
belongs,107,0.07063592133666928,,
remember,106,0.06997577253913032,,
everything,106,0.06997577253913032,,
sign,105,0.06931562374159135,,
servants,103,0.06799532614651342,,
guided,103,0.06799532614651342,,
women,103,0.06799532614651342,,
'we,103,0.06799532614651342,,
now,102,0.06733517734897446,,
messengers,100,0.06601487975389653,,
serve,100,0.06601487975389653,,
night,99,0.06535473095635756,,
mighty,99,0.06535473095635756,,
'i,96,0.06337428456374067,,
her,95,0.0627141357662017,,
soul,95,0.0627141357662017,,
gave,95,0.0627141357662017,,
all-compassionate,95,0.0627141357662017,,
comes,94,0.06205398696866273,,
whoso,94,0.06205398696866273,,
truly,94,0.06205398696866273,,
all-,93,0.06139383817112377,,
go,93,0.06139383817112377,,
follow,92,0.0607336893735848,,
wage,91,0.06007354057604584,,
assuredly,91,0.06007354057604584,,
tidings,91,0.06007354057604584,,
manifest,90,0.05941339177850688,,
present,90,0.05941339177850688,,
children,89,0.058753242980967915,,
koran,88,0.05809309418342895,,
nay,88,0.05809309418342895,,
recompense,88,0.05809309418342895,,
turned,88,0.05809309418342895,,
guidance,88,0.05809309418342895,,
saying,87,0.057432945385889986,,
brought,87,0.057432945385889986,,
until,86,0.05677279658835102,,
all-knowing,86,0.05677279658835102,,
about,86,0.05677279658835102,,
though,84,0.055452498993273085,,
'what,84,0.055452498993273085,,
put,84,0.055452498993273085,,
concerning,83,0.05479235019573412,,
all-forgiving,82,0.054132201398195155,,
angels,82,0.054132201398195155,,
behold,81,0.05347205260065619,,
'o,81,0.05347205260065619,,
does,81,0.05347205260065619,,
witness,81,0.05347205260065619,,
hands,81,0.05347205260065619,,
she,81,0.05347205260065619,,
many,81,0.05347205260065619,,
gardens,81,0.05347205260065619,,
very,80,0.052811903803117226,,
ask,80,0.052811903803117226,,
find,80,0.052811903803117226,,
each,80,0.052811903803117226,,
together,79,0.05215175500557826,,
all-wise,79,0.05215175500557826,,
dis#believe,79,0.05215175500557826,,
well,78,0.051491606208039296,,
all-mighty,77,0.050831457410500325,,
whose,77,0.050831457410500325,,
gehenna,76,0.05017130861296136,,
whomsoever,76,0.05017130861296136,,
own,76,0.05017130861296136,,
bounty,76,0.05017130861296136,,
water,76,0.05017130861296136,,
awaits,76,0.05017130861296136,,
ever,75,0.049511159815422395,,
nothing,75,0.049511159815422395,,
none,75,0.049511159815422395,,
prayer,75,0.049511159815422395,,
religion,74,0.04885101101788343,,
thing,74,0.04885101101788343,,
till,74,0.04885101101788343,,
speak,74,0.04885101101788343,,
return,74,0.04885101101788343,,
lord's,72,0.0475307134228055,,
righteous,72,0.0475307134228055,,
painful,72,0.0475307134228055,,
back,71,0.046870564625266536,,
resurrection,71,0.046870564625266536,,
true,70,0.04621041582772757,,
help,70,0.04621041582772757,,
yourselves,70,0.04621041582772757,,
abraham,69,0.04555026703018861,,
cast,69,0.04555026703018861,,
because,68,0.044890118232649635,,
pharaoh,68,0.044890118232649635,,
satan,67,0.04422996943511067,,
above,67,0.04422996943511067,,
why,66,0.043569820637571706,,
therefore,66,0.043569820637571706,,
cry,66,0.043569820637571706,,
forever,66,0.043569820637571706,,
naught,65,0.04290967184003274,,
while,65,0.04290967184003274,,
fathers,64,0.042249523042493776,,
revealed,63,0.04158937424495482,,
'my,63,0.04158937424495482,,
dead,63,0.04158937424495482,,
desire,63,0.04158937424495482,,
doing,62,0.04092922544741585,,
eat,61,0.04026907664987688,,
taken,61,0.04026907664987688,,
promise,59,0.03894877905479895,,
makes,59,0.03894877905479895,,
#believed,59,0.03894877905479895,,
son,59,0.03894877905479895,,
little,59,0.03894877905479895,,
'this,59,0.03894877905479895,,
light,59,0.03894877905479895,,
remembrance,58,0.03828863025725999,,
enter,58,0.03828863025725999,,
guides,58,0.03828863025725999,,
righteousness,58,0.03828863025725999,,
provision,58,0.03828863025725999,,
eyes,58,0.03828863025725999,,
forgiveness,57,0.037628481459721023,,
desires,57,0.037628481459721023,,
more,57,0.037628481459721023,,
behind,57,0.037628481459721023,,
'god,57,0.037628481459721023,,
these,57,0.037628481459721023,,
returned,57,0.037628481459721023,,
place,56,0.03696833266218206,,
obey,56,0.03696833266218206,,
time,56,0.03696833266218206,,
proud,56,0.03696833266218206,,
term,55,0.036308183864643094,,
thankful,55,0.036308183864643094,,
himself,55,0.036308183864643094,,
error,55,0.036308183864643094,,
path,55,0.036308183864643094,,
promised,54,0.03564803506710412,,
prophet,54,0.03564803506710412,,
also,54,0.03564803506710412,,
part,54,0.03564803506710412,,
done,54,0.03564803506710412,,
think,53,0.03498788626956516,,
hour,53,0.03498788626956516,,
hand,53,0.03498788626956516,,
fair,53,0.03498788626956516,,
anything,53,0.03498788626956516,,
command,53,0.03498788626956516,,
hear,53,0.03498788626956516,,
word,53,0.03498788626956516,,
