Word,Count,Percentage,Total,Distinct
the,29906,3.120135547385246,958484,34760
and,28287,2.9512229729447754,,
i,21535,2.246777202332016,,
to,20802,2.1703022689997953,,
of,18646,1.9453637202081622,,
a,15942,1.6632515514082655,,
you,14333,1.4953822912015224,,
my,13165,1.3735231887021588,,
in,12111,1.263557868467288,,
that,11743,1.2251639046661185,,
is,9675,1.0094065211312864,,
not,9025,0.9415910959390037,,
with,8468,0.8834784931203858,,
me,8250,0.860734242825128,,
it,8156,0.8509270890280902,,
for,8143,0.8495707805242445,,
his,7571,0.7898932063550357,,
be,7328,0.7645406704754591,,
this,7103,0.741066100216592,,
your,7058,0.7363711861648187,,
he,6805,0.7099753360515146,,
but,6733,0.7024634735686772,,
have,6253,0.6523843903497606,,
as,6159,0.6425772365527228,,
thou,5828,0.6080435354163449,,
him,5534,0.5773700969447586,,
so,5439,0.567458611724348,,
will,5274,0.5502439268678455,,
what,4734,0.49390495824656433,,
her,4592,0.47908989612763486,,
thy,4358,0.45467634305841303,,
all,4178,0.4358966868513193,,
by,4048,0.42233360181286284,,
no,4039,0.42139461900250813,,
do,3889,0.4057449054965967,,
shall,3835,0.40011100863446863,,
if,3768,0.3931208032684948,,
are,3696,0.3856089407856574,,
we,3538,0.369124575892764,,
thee,3381,0.3527445424232434,,
on,3310,0.3453370113637786,,
our,3289,0.343146051472951,,
lord,3137,0.32728767512029416,,
now,3002,0.31320293296497387,,
sir,2986,0.31153363019100994,,
good,2944,0.3071517104093548,,
king,2924,0.3050650819418999,,
from,2882,0.3006831621602447,,
they,2740,0.28586810004131524,,
at,2724,0.28419879726735137,,
she,2704,0.2821121687998965,,
or,2638,0.27522629485729544,,
come,2625,0.27386998635344983,,
which,2552,0.2662537924472396,,
more,2488,0.25957658135138406,,
would,2475,0.2582202728475384,,
then,2462,0.25686396434369274,,
was,2422,0.252690707408783,,
their,2373,0.24757846766351863,,
o,2334,0.24350954215198167,,
how,2301,0.24006660518068115,,
am,2290,0.23891895952358097,,
well,2275,0.23735398817298983,,
enter,2266,0.23641500536263518,,
love,2262,0.23599767966914417,,
here,2251,0.23485003401204405,,
let,2218,0.2314070970407435,,
when,2215,0.23109410277062525,,
them,2101,0.2192003205061326,,
hath,2053,0.21419241218424093,,
than,1960,0.20448958981057588,,
one,1956,0.2040722641170849,,
there,1937,0.2020899670730028,,
like,1928,0.2011509842626481,,
man,1910,0.19927301864193872,,
an,1866,0.19468243601353805,,
upon,1847,0.19270013896945595,,
may,1789,0.18664891641383685,,
make,1780,0.18570993360348215,,
did,1776,0.1852926079099912,,
say,1769,0.184562287946382,,
go,1756,0.18320597944253633,,
know,1746,0.18216266520880892,,
us,1741,0.1816410080919452,,
yet,1740,0.18153667666857246,,
were,1709,0.17830240254401744,,
should,1698,0.17715475688691726,,
must,1638,0.17089487148455268,,
had,1554,0.16213103192124229,,
see,1540,0.1606703919940239,,
why,1539,0.16056606057065115,,
such,1527,0.15931408349017823,,
out,1467,0.15305419808781368,,
some,1441,0.15034158108012236,,
give,1415,0.14762896407243103,,
these,1411,0.14721163837894008,,
first,1360,0.1418907357869302,,
where,1358,0.1416820729401847,,
who,1353,0.14116041582332098,,
too,1341,0.13990843874284808,,
can,1321,0.13782181027539323,,
take,1284,0.13396154761060175,,
mine,1257,0.1311445991795377,,
most,1237,0.12905797071208283,,
scene,1217,0.12697134224462797,,
speak,1184,0.12352840527332747,,
up,1148,0.11977247403190872,,
never,1133,0.11820750268131759,,
time,1119,0.11674686275409919,,
tell,1110,0.1158078799437445,,
duke,1098,0.11455590286327158,,
much,1093,0.11403424574640787,,
exeunt,1085,0.11319959435942593,,
doth,1081,0.11278226866593495,,
heart,1058,0.11038264592836187,,
nor,1055,0.11006965165824364,,
