Word,Count,Percentage,Total,Distinct
the,3311,5.434907503159829,60921,7039
of,2633,4.321990774938034,,
to,1849,3.035078216050295,,
and,1552,2.547561596165526,,
a,1470,2.412961047914512,,
that,1189,1.9517079496396972,,
is,1150,1.8876906157154347,,
in,1146,1.8811247353129463,,
it,720,1.1818584724479244,,
i,565,0.9274306068514963,,
be,556,0.9126573759458972,,
this,541,0.8880353244365653,,
are,459,0.7534347761855518,,
for,457,0.7501518359843075,,
as,455,0.7468688957830633,,
we,447,0.7337371349780863,,
or,413,0.6779271515569344,,
have,369,0.6057024671295612,,
not,367,0.602419526928317,,
but,346,0.5679486548152525,,
you,341,0.559741304312142,,
can,326,0.5351192528028101,,
with,319,0.5236289620984553,,
one,279,0.4579701580735707,,
on,275,0.45140427767108227,,
our,273,0.44812133746983795,,
was,265,0.43498957666486104,,
#consciousness,256,0.42021634575926203,,
from,254,0.4169334055580178,,
an,252,0.4136504653567736,,
his,250,0.4103675251555293,,
at,249,0.4087260550549072,,
by,246,0.4038016447530408,,
my,228,0.3742551829418427,,
about,217,0.35619901183499947,,
what,215,0.35291607163375516,,
he,211,0.3463501912312667,,
there,200,0.32829402012442344,,
they,195,0.3200866696213128,,
#experience,193,0.3168037294200686,,
no,192,0.3151622593194465,,
all,185,0.30367196861509166,,
your,182,0.2987475583132253,,
if,181,0.2971060882126032,,
#mind,169,0.2774084470051378,,
would,167,0.2741255068038936,,
will,164,0.2692010965020272,,
these,158,0.2593522758982945,,
who,158,0.2593522758982945,,
has,158,0.2593522758982945,,
people,153,0.25114492539518396,,
their,153,0.25114492539518396,,
many,152,0.24950345529456183,,
been,152,0.24950345529456183,,
which,149,0.24457904499269545,,
other,145,0.238013164590207,,
most,143,0.23473022438896277,,
had,143,0.23473022438896277,,
how,142,0.23308875428834064,,
#brain,137,0.22488140378523003,,
like,136,0.22323993368460793,,
more,135,0.2215984635839858,,
even,133,0.21831552338274157,,
such,131,0.21503258318149734,,
some,128,0.21010817287963102,,
do,128,0.21010817287963102,,
than,126,0.2068252326783868,,
any,123,0.2019008223765204,,
#being,120,0.19697641207465405,,
only,113,0.18548612137029924,,
life,112,0.1838446512696771,,
#human,108,0.17727877086718866,,
us,107,0.17563730076656653,,
when,107,0.17563730076656653,,
#spiritual,106,0.17399583066594443,,
however,106,0.17399583066594443,,
*,105,0.1723543605653223,,
were,105,0.1723543605653223,,
moment,104,0.17071289046470017,,
#sense,101,0.16578848016283382,,
person,99,0.1625055399615896,,
world,97,0.15922259976034536,,
its,96,0.15758112965972326,,
could,95,0.15593965955910113,,
so,94,0.154298189458479,,
them,92,0.15101524925723478,,
know,92,0.15101524925723478,,
must,91,0.14937377915661265,,
fact,91,0.14937377915661265,,
may,87,0.1428078987541242,,
see,87,0.1428078987541242,,
very,86,0.14116642865350207,,
way,83,0.13624201835163574,,
one’s,83,0.13624201835163574,,
between,80,0.13131760804976936,,
time,80,0.13131760804976936,,
might,79,0.12967613794914726,,
while,78,0.12803466784852513,,
#meditation,78,0.12803466784852513,,
#thought,78,0.12803466784852513,,
now,78,0.12803466784852513,,
because,78,0.12803466784852513,,
every,78,0.12803466784852513,,
#self,77,0.12639319774790303,,
without,77,0.12639319774790303,,
into,75,0.12311025754665877,,
nothing,74,0.12146878744603666,,
#thoughts,73,0.11982731734541455,,
also,73,0.11982731734541455,,
practice,73,0.11982731734541455,,
body,72,0.11818584724479243,,
another,70,0.1149029070435482,,
right,69,0.11326143694292609,,
simply,69,0.11326143694292609,,
does,68,0.11161996684230396,,
out,68,0.11161996684230396,,
seem,68,0.11161996684230396,,
feeling,67,0.10997849674168185,,
after,67,0.10997849674168185,,
just,66,0.10833702664105974,,
view,65,0.10669555654043762,,
should,64,0.10505408643981551,,
seems,64,0.10505408643981551,,
yet,64,0.10505408643981551,,
first,63,0.1034126163391934,,
me,62,0.10177114623857125,,
own,62,0.10177114623857125,,
point,61,0.10012967613794914,,
say,61,0.10012967613794914,,
much,60,0.09848820603732703,,
left,59,0.09684673593670491,,
something,59,0.09684673593670491,,
same,58,0.0952052658360828,,
each,58,0.0952052658360828,,
thinking,57,0.09356379573546067,,
believe,57,0.09356379573546067,,
self,57,0.09356379573546067,,
often,57,0.09356379573546067,,
make,56,0.09192232563483856,,
nature,55,0.09028085553421644,,
#conscious,54,0.08863938543359433,,
her,53,0.08699791533297221,,
merely,53,0.08699791533297221,,
others,53,0.08699791533297221,,
whether,52,0.08535644523235009,,
attention,52,0.08535644523235009,,
both,51,0.08371497513172799,,
then,50,0.08207350503110586,,
find,50,0.08207350503110586,,
through,50,0.08207350503110586,,
illusion,49,0.08043203493048375,,
here,49,0.08043203493048375,,
#experiences,49,0.08043203493048375,,
states,49,0.08043203493048375,,
certain,49,0.08043203493048375,,
those,49,0.08043203493048375,,
instance,49,0.08043203493048375,,
matter,49,0.08043203493048375,,
never,48,0.07879056482986163,,
itself,48,0.07879056482986163,,
mental,48,0.07879056482986163,,
few,48,0.07879056482986163,,
generally,48,0.07879056482986163,,
good,48,0.07879056482986163,,
hemisphere,47,0.0771490947292395,,
again,47,0.0771490947292395,,
feel,47,0.0771490947292395,,
think,46,0.07550762462861739,,
present,46,0.07550762462861739,,
physical,45,0.07386615452799528,,
teachings,45,0.07386615452799528,,
am,45,0.07386615452799528,,
reality,44,0.07222468442737315,,
book,44,0.07222468442737315,,
found,44,0.07222468442737315,,
true,44,0.07222468442737315,,
once,44,0.07222468442737315,,
things,43,0.07058321432675103,,
having,43,0.07058321432675103,,
